SEASON,TEAM,TEAM_PIS,TOP3_PIS,DEPTH_PIS,N_PLAYERS
2021-22,CLE,2.9462,4.8557,0.7004,14
2021-22,DAL,2.3546,5.0096,-0.6578,12
2021-22,DEN,2.2655,6.2434,-1.0585,13
2021-22,DET,-4.5722,0.9077,-2.5996,13
2021-22,GSW,7.2742,5.1551,4.6428,15
2021-22,HOU,-5.8147,0.6156,-3.6258,12
2021-22,IND,-3.0879,1.4941,-4.582,10
2021-22,LAC,2.3557,3.4225,0.0185,11
2021-22,LAL,-1.3341,4.6393,-2.7608,13
2021-22,MEM,5.8998,5.5042,4.67,15
2021-22,MIA,6.3429,5.4032,2.2874,13
2021-22,MIL,5.412,6.9384,0.4672,12
2021-22,MIN,2.2734,4.072,2.1382,15
2021-22,NOP,0.5135,2.4959,0.0524,12
2021-22,NYK,2.4515,2.9406,1.4189,14
2021-22,OKC,-7.2026,3.0654,-2.3184,18
2021-22,ORL,-6.9527,1.9327,-3.1272,14
2021-22,PHI,3.2342,5.4827,-2.2485,10
2021-22,PHX,7.8628,5.7431,3.6997,12
2021-22,POR,-9.7308,0.4548,-4.7606,13
2021-22,SAC,-2.7523,1.0727,-3.825,9
2021-22,SAS,-0.7236,3.3989,-1.7331,12
2021-22,TOR,2.2423,4.1544,0.3505,13
2021-22,UTA,7.2602,5.7759,2.1742,12
2021-22,WAS,-1.7209,1.0948,-2.8157,10
2022-23,2TM,-9.5564,5.5926,5.7351,63
2022-23,ATL,1.4053,3.5688,-0.8037,11
2022-23,BKN,-3.1405,1.8442,-3.2753,11
2022-23,BOS,9.0109,5.2798,4.6756,12
2022-23,CHA,-7.2479,1.0328,-3.5368,13
2022-23,CHI,4.0585,3.7529,0.9265,11
2022-23,CLE,5.162,5.3544,1.0722,12
2022-23,DAL,-2.4034,4.544,-3.7497,13
2022-23,DEN,3.0384,7.0995,-1.4152,12
2022-23,DET,-4.7564,0.9436,-3.1123,12
2022-23,GSW,3.0243,4.6252,0.114,13
2022-23,HOU,-7.2382,1.0723,-6.2881,11
2022-23,IND,-0.77,4.4861,-3.9092,11
2022-23,LAC,1.8216,3.7978,-0.7496,11
2022-23,LAL,3.0652,5.2899,-2.2247,8
2022-23,MEM,3.6912,4.7956,3.4142,14
2022-23,MIA,0.1056,5.0854,-1.143,14
2022-23,MIL,3.8366,5.8287,1.6079,14
2022-23,MIN,-0.4139,2.7116,-0.0329,13
2022-23,NOP,4.4675,3.7496,1.9483,13
2022-23,NYK,2.7038,4.8453,0.0418,12
2022-23,OKC,1.3011,4.2406,-0.0471,13
2022-23,ORL,-1.5125,1.6399,-0.7864,13
2022-23,PHI,4.9092,6.6836,0.1365,12
2022-23,PHX,0.8834,3.734,-0.9045,12
2022-23,POR,-4.5787,3.3317,-4.7412,12
2022-23,SAC,1.5719,4.7545,-0.4434,13
2022-23,SAS,-11.965,0.1967,-4.0053,15
2022-23,TOR,0.801,3.1895,0.101,13
2022-23,UTA,-1.8296,3.9445,-2.6312,12
2022-23,WAS,0.5551,3.8272,-0.7368,12
2023-24,2TM,-26.357,3.2265,2.8088,62
2023-24,3TM,-4.5822,-1.8496,-2.7326,5
2023-24,ATL,-1.119,2.3047,-0.8644,13
2023-24,BKN,0.0067,1.7086,-0.6269,12
2023-24,BOS,12.624,6.108,6.9213,12
2023-24,CHA,-9.2583,0.9741,-6.6847,12
2023-24,CHI,-1.9321,2.8194,-0.0557,14
2023-24,CLE,4.9842,4.9844,1.0244,13
2023-24,DAL,0.9787,6.5139,-2.0234,13
